,iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,195.29170155597836,233.49785483433214,340.9410945933589,290.91916941128136,277.1010957468937,297.97834611045255,192.05129459310166,284.85345832096056,360.8566314177605,267.0623921873545,260.3299270693444,213.15655439477936,279.16018444047666,252.5139493714123,135.69547687538522,193.9589977354445,206.61806825407794,239.2222193203952,115.66157051805696,262.4467279852116,260.2164520374287,158.10560442456088,271.95038244750907,293.5731649349153,348.7264011536572,288.98669241384493,204.971680847032,96.18449046908911,184.4677728364897,210.25161119285454
1,10,455.48911379232715,523.7935942076977,482.4818477683713,424.73583793106,530.2489406574942,452.2501019800153,534.1378547128863,513.3487887567002,508.47728062211206,501.60085393209584,480.16605794687973,543.3295603482901,495.4719760247402,479.89225451568484,430.3132632022036,468.6788412695729,471.2379778383083,455.4780640607029,498.90227231664255,463.53710968061114,503.8094435306456,499.44816013249556,505.10249546915213,512.4919065957841,456.07437436770726,572.2488356312632,432.36428307627983,457.55916177106593,496.76885199470496,533.5442805252493
2,20,501.2107838832777,491.4440233053898,486.87501878681167,514.4249865371982,530.2489406574942,497.454282489722,541.8020694281261,559.9935392618909,517.0964489122123,520.997316688525,487.3766368447712,564.3071093104738,505.9572259930409,479.89225451568484,450.10747858456097,479.2937886483375,522.1503387091325,465.5096499580048,541.5886973912927,463.53710968061114,503.8094435306456,519.1673452607192,533.1998629242659,557.9881837494194,456.07437436770726,572.2488356312632,523.8683458315592,458.6627151043184,505.2446942192902,521.1355254283192
3,30,509.2703887183816,524.4309007956215,557.768221198706,488.9472169510279,530.2489406574942,497.454282489722,562.0918076924283,559.9935392618909,540.034172130274,520.997316688525,489.10231233417437,564.3071093104738,505.9572259930409,479.89225451568484,496.5896593617911,479.2937886483375,530.3250615894273,531.1601194995827,491.6293956009796,456.6131400975316,503.8094435306456,524.8330163877614,516.710190399827,557.9881837494194,471.13295557462123,572.2488356312632,498.9618360524014,484.5542574391676,514.0763845219807,533.5442805252493
4,40,461.70506331801437,529.8522428421153,558.4573484138342,536.1982615814828,530.2489406574942,480.5324720191482,562.0918076924283,559.9935392618909,556.8557931610242,489.1416693863851,493.3159185937458,564.3071093104738,508.18854030701925,479.89225451568484,498.0498695308587,485.5256731770546,531.346901949464,507.47916894668623,541.5886973912927,448.53679597858246,503.8094435306456,535.4669005002892,543.563169258133,557.9881837494194,509.2902052031254,572.2488356312632,540.3282301500886,490.7437480384633,514.0763845219807,533.5442805252493
5,50,508.9266509493741,490.8136035213076,526.449582991419,509.936201749061,511.1705027290098,497.454282489722,562.0918076924283,429.5968722609183,576.1320424589902,520.997316688525,500.3348208572394,564.3071093104738,475.1584615813702,481.92204971721713,467.02138862248995,488.1964808322191,531.346901949464,531.1601194995827,541.5886973912927,463.53710968061114,503.8094435306456,507.19881601610723,543.563169258133,525.5360421576722,515.1022233735525,572.2488356312632,519.4426299613986,501.5492992178595,514.0763845219807,510.076193923113
6,60,487.3964290583898,531.3669050007196,564.6594933499874,536.1982615814828,479.7037016274179,497.454282489722,541.7674497315577,559.9935392618909,557.9758891125953,520.997316688525,522.8341514312123,564.3071093104738,528.2703691328244,485.98164012028167,498.0498695308587,478.102531992884,531.346901949464,469.3386557858501,541.5886973912927,437.2068037210076,503.8094435306456,535.4669005002892,524.1974841651029,557.9881837494194,522.3672460865864,572.2488356312632,519.8478540522947,526.7622519697842,500.80886678796077,533.5442805252493
7,70,503.080871004254,521.7665376565452,564.6594933499874,536.1982615814828,485.71939407774073,430.155347046459,562.0918076924283,559.9935392618909,552.6515805749218,496.14706983485814,505.426827505176,564.3071093104738,528.2703691328244,500.19020653100745,498.0498695308587,488.1964808322191,531.346901949464,531.1601194995827,525.37941070395,463.53710968061114,519.6862764603391,535.4669005002892,543.563169258133,557.9881837494194,522.3672460865864,572.2488356312632,540.3282301500886,526.7622519697842,509.819644217725,533.5442805252493
8,80,528.2398784162285,531.3669050007196,548.7370291374361,536.1982615814828,509.41030343396005,497.454282489722,562.0918076924283,559.9935392618909,576.1320424589902,520.997316688525,522.8341514312123,564.3071093104738,528.2703691328244,500.19020653100745,420.9145412994356,488.1964808322191,531.346901949464,531.1601194995827,541.5886973912927,451.4578948714885,543.5015258548791,506.0942518124857,543.563169258133,557.9881837494194,522.3672460865864,572.2488356312632,540.3282301500886,554.7338842751199,529.5863643207166,533.5442805252493
9,90,506.7275648660987,531.3669050007196,527.0381442136206,536.1982615814828,530.2489406574942,497.454282489722,562.0918076924283,559.9935392618909,524.5607724748382,513.9733512518251,530.3899417592842,550.264329932301,528.2703691328244,500.19020653100745,488.2030263226181,488.1964808322191,531.346901949464,501.16591212100127,529.1318996710099,463.53710968061114,543.5015258548791,535.4669005002892,543.563169258133,531.8579174576877,523.424457286847,572.2488356312632,498.4760082642518,565.0804420442233,519.2316271260174,533.5442805252493
