,generations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,525.9039047154032,528.9027624582943,547.409135350897,533.4074674641554,541.9073734919998,550.9048993098876,514.4072731677985,546.4021330591034,527.4062883178325,518.9055479263242,538.9031282500536,537.9020572723707,532.9030257539819,533.4139997844891,508.90639751829514,552.9045797165039,543.4071154888646,515.9055762110678,515.4080488731164,527.907174363661,534.9046232547682,525.4055504782106,533.4031626956063,545.4107571727019,548.9036328957999,531.4047710809585,540.9027588745853,530.4046787924324,528.4095721625745,537.4072346502958
1,1,525.9022814817598,517.402860882416,533.9075128772856,536.4048956179535,539.4117389271997,542.9057722992793,512.4048005057499,547.9030071885429,538.4096462656777,516.404650235898,548.9039529774242,530.401183142931,540.9029755918812,533.4140132209416,507.90903890740975,548.4062280311977,551.4064508840892,505.404751591922,523.4056001520704,528.4071747436769,543.4053604425834,519.9064500687164,538.4039627219428,539.9098611659053,545.9026840114502,529.4039594100244,540.4018608041431,524.4089468353336,546.4147872979706,533.4055979801998
2,2,512.4023305038128,499.90264009317,528.4100824433923,530.4030979570056,536.9107925947364,539.9057472182291,509.9048753688849,558.4029087644212,547.9053782227766,524.4063214597716,538.9064982225125,533.901206703918,548.4038355248367,529.4129811407771,519.9090636084442,543.403781590247,548.9098084519184,505.90472727090355,512.9073480309335,520.9046785206417,547.4053365015806,531.9039788185064,541.9047133462102,538.4100093721116,558.403508358805,541.9030246139341,540.9017627600373,515.908159213627,537.915684608381,535.9073298707243
3,3,522.9031297701172,495.9014857561064,514.4068239514916,519.4029964927565,530.9125858037186,525.9056746351895,522.4056252331206,562.9028463059158,527.9053318608352,524.4047486600198,534.9022533605822,544.9013530100447,555.4020913379074,524.9121208278059,508.9081909990683,540.9047275426944,543.9081742254838,501.9038056394747,503.4073237099149,517.4072986288649,548.4071300905784,523.4030564270458,546.9039646220222,525.4151616689866,554.4032374074584,534.9030477949049,532.9009608336214,515.4065737374543,537.4166069998414,535.4099238660745
4,4,511.90322781422293,502.4023318725933,514.9067738976158,515.9037823226085,529.4143709518117,522.406548764629,525.9056734951416,551.4053908991971,523.9028124568291,534.9056830760941,526.9014286332114,559.401231784968,550.4029261898124,517.9103999300728,506.90903662731426,532.4046770005779,532.9073103288035,490.90189866983894,500.90565107420275,519.9037812102313,551.9053608225993,524.9031537111198,545.9022912262781,520.9185708107552,548.9014405065424,526.4014518141822,529.4009608336214,513.4090819851035,534.9123381969089,524.9091123033651
5,5,507.402355204847,497.40124973855364,516.905890023658,514.4054786275325,540.9135483963115,528.9048016457976,527.4090928696693,554.9053661981628,525.903733328226,532.9073295989333,528.901377711079,554.4011318407827,558.9013784711109,507.9087006932465,505.9065639652656,537.4028325976725,520.4097197723152,493.90187358878893,495.4073985730501,521.4031043090512,560.4054356857342,520.9049008299512,540.4022171231749,533.4269721268032,552.400763605362,513.9014757551848,530.9009110515367,520.4107415643792,530.9141335777609,529.4058062012502
6,6,519.9038811544165,506.4019023187153,517.905961194859,504.90887199741206,549.9177304197203,531.407421374005,541.9072746878619,562.9043199215143,524.9021594966514,531.4046498558822,531.9013780910948,547.9010094756585,558.9013275489783,513.4104485721094,503.90404418124365,537.4036561849955,518.4090435229416,487.901823806704,483.4056525942664,512.9031791721859,551.9079174404944,524.9040772426281,528.4028555068525,530.9269484575916,544.4006153991558,508.40150083623513,531.9010337966768,507.4140621347693,516.9167282249182,520.9040855753078
7,7,525.9039054754351,466.9002327231303,523.9068472406872,506.9063887225883,542.9117541555067,523.405773819343,542.4065236835784,546.4060289028588,522.4037584092763,529.9038142439454,516.9013283090102,549.901034556709,551.9012792869572,515.4096968077943,487.4048723287577,529.4021062944234,510.9118510066806,477.9027320016805,499.9047803649064,507.90744645505515,557.9072288947162,524.4032772162918,519.904500889644,534.9260515271973,536.900494554095,515.4014768952325,536.9011565418172,498.9149602052115,527.4148823019492,492.9041345973608
8,8,526.4031556111993,449.40040259024414,519.9068846181424,501.9055306897127,531.9134479085442,514.4056997162397,535.4048746088531,558.4041833599057,517.4046804207211,531.9046004538133,529.9013267889466,545.4009604536056,556.4011812428516,512.4079257479603,490.909117570704,521.4029549627967,513.9117122732016,488.40115958194446,504.4048043059089,511.4125145242927,549.9079170604786,529.4049506120359,513.4079402414494,541.4267153719409,534.900667461336,509.9015502383039,538.9011816228674,489.9107662654137,528.4173789050002,504.90669121525576
9,9,536.9022081386884,435.4002809851514,522.4051872813956,508.9045981737179,528.9127113725359,517.4064754215577,526.9049221108422,547.9051061313824,510.4047302028059,531.4028304258022,530.9013507299491,539.40098515464,562.9010831987457,509.40625273223225,482.41079020641627,512.4039259962944,500.41341935446644,481.40106039779096,498.4031540911357,512.9091198507995,553.9055325897925,538.9058726234807,514.9097098894446,539.9302203859445,535.4003965099894,504.4015985003249,552.4010839587775,483.4151084114179,530.4242674361403,488.40752568714487
