,best individuals,best Fitnesses
0,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 39, -70, 117, 50, 77, 70, 33, -38, 353, 49, -17, 341, 45, 16, 4, 50, -83, 98, 57, 18, 269, 69, -81, 121, 68, -49, 94, 62, 72, 288, 43, 26, 129, 59, 89, 97, 71, -60, 322, 67, 65, 55, 60, -70, 103, 37, 15, 18]",666.4017273257205
1,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 53, 87, 3, 37, 31, 62, 50, 12, 105, 62, 62, 90, 58, 7, 70, 46, 41, 290, 32, -44, 133, 42, -69, 276, 70, -58, 161, 50, -69, 308, 48, 12, 60, 46, -29, 354, 69, -26, 265, 32, -44, 265, 43, 36, 228, 45, 68, 258]",666.4030329693718
2,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 37, 46, 238, 66, 28, 243, 51, -45, 111, 42, 81, 168, 58, -61, 241, 57, -85, 247, 51, -54, 204, 35, -47, 4, 45, 13, 94, 49, -35, 353, 39, -54, 223, 33, 14, 161, 53, -12, 121, 34, 62, 48, 56, -10, 311, 60, 26, 206]",666.4030329693718
3,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, -8, 275, 34, 76, 171, 52, -34, 324, 63, -51, 13, 51, 55, 97, 56, 23, 83, 65, -39, 272, 70, 15, 130, 32, -6, 180, 47, 65, 64, 63, -1, 358, 36, 60, 227, 71, 1, 311, 54, 36, 276, 45, -30, 119, 54, 28, 260]",666.4017273257205
4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 37, -88, 67, 66, -19, 296, 60, 20, 274, 58, 87, 138, 44, 53, 241, 35, -1, 176, 47, 40, 315, 39, 26, 207, 71, 31, 58, 50, 18, 36, 54, -7, 192, 46, -44, 198, 55, 8, 286, 46, -80, 229, 55, -69, 295, 58, 35, 332]",666.4017273257205
5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 64, 81, 70, 63, -1, 198, 69, 88, 340, 41, -40, 25, 33, 64, 56, 57, -13, 195, 55, 77, 169, 35, 67, 127, 34, 1, 334, 47, 26, 273, 55, 33, 191, 46, -15, 184, 58, -17, 181, 64, -8, 240, 72, 46, 162, 62, -32, 218]",666.4017273257205
6,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 40, 35, 145, 64, -21, 206, 47, -71, 85, 58, -42, 224, 61, 37, 252, 52, -29, 76, 57, 68, 77, 58, -72, 241, 57, 47, 331, 34, 84, 89, 42, 54, 204, 32, 2, 178, 58, 6, 198, 53, -38, 350, 65, 8, 261, 70, -59, 131]",666.4865941630524
7,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 66, 34, 103, 39, -57, 8, 33, -42, 300, 34, 84, 55, 41, -56, 212, 64, -74, 270, 50, 37, 323, 40, 5, 298, 65, -19, 115, 61, 65, 350, 47, 64, 267, 45, 57, 37, 32, 37, 20, 39, 53, 54, 69, 73, 268, 57, -27, 315]",666.4030329693718
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 66, 59, 174, 46, -78, 331, 63, 76, 123, 33, 43, 165, 62, -32, 101, 57, 47, 210, 55, 32, 289, 43, -43, 156, 58, 8, 271, 51, -27, 227, 32, -71, 175, 58, 0, 195, 37, -74, 288, 58, -35, 70, 55, 74, 328, 69, -73, 228]",666.4017273257205
9,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 37, 33, 27, 71, 26, 131, 72, -15, 171, 38, 25, 247, 51, 79, 302, 62, -39, 79, 66, 30, 67, 67, -46, 230, 46, -7, 176, 52, 56, 287, 55, -65, 163, 58, -77, 241, 40, -13, 124, 34, 90, 44, 34, 41, 243, 58, -45, 53]",666.4017273257205
