,iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,-121.94649099219333,-121.90627704868179,-115.93098150137638,-120.17748979566912,-118.48949259578903,-117.49458988658756,-133.63756361527496,-115.26967257943315,-122.34233732215345,-114.86407370810193,-132.75653722999198,-121.76526924753209,-137.47693929685045,-124.41504841073797,-128.89191812932336,-129.5727766406217,-115.56063162581852,-118.58378108925011,-125.49262498789521,-105.93088970024189,-129.3699815048996,-106.05764462468403,-129.25400596754338,-126.76870831845532,-126.85137538793093,-120.35281344867481,-112.88621451860712,-128.97498246737158,-112.49360461672532,-108.84748494598857
1,50,343.7712651105651,323.55542133476445,342.25029920000316,321.26396945306357,354.0537097088994,295.72003288395,352.67943115831594,333.98967793086706,340.8307421904889,372.965614526038,314.00369526866825,328.0158538565028,326.54746096493943,349.0495743196718,355.4060984202017,337.63370181286905,343.1165544601092,336.3752465740234,318.3139390979664,364.2040133593143,313.33699675263694,366.36213573383634,297.1258224395159,324.76992837463945,338.06756040524357,354.0380863073691,308.58714289620826,342.29066216075165,354.27758998548217,336.99322767860804
2,100,423.807809241821,420.7489382431359,442.6655595321141,408.929953623924,445.54102790759106,388.6331006760854,464.3345808201438,418.3595810486572,448.23084187831483,445.9637769185232,424.32688386135703,417.42924527811863,395.1219592259785,452.19275531723537,448.48187343272104,439.2837297581525,427.55743867081054,427.5086670537109,415.72546520277996,451.3713788887319,389.16529446982844,457.53249339368233,394.31981519408595,425.5639784051374,441.75314529879694,440.74639264572653,403.8404179316695,428.2898829551136,464.85091621525856,400.4946616244286
3,150,462.18716567319933,440.7948654820737,482.9869175091516,459.8433039617064,476.07972123876925,430.3108282946884,498.3902567065695,453.2882677007372,482.9784130903086,484.3540470276193,494.0887375476728,448.66235086365793,432.8406351807339,485.71000483611914,478.383038790524,482.80777059225744,456.4510019394204,460.9184519104966,469.85814079144154,478.97906835203145,436.2571306273543,483.1286904430293,444.19815805932325,455.90284345761296,496.4132073782363,463.67744451536186,451.59252495810216,467.552760594072,498.59581572061063,436.6085374394084
4,200,482.236494466373,458.84959512464667,516.5036629201517,494.11666189852264,499.85328710251315,459.58071120973466,531.4056341720128,470.7090116750323,495.19100466612826,512.4087776196087,525.14671052083,469.18592248274575,475.8227825814787,509.00741236156756,509.43416870208966,499.4484664222162,478.825824349046,486.8994723136041,491.9212045797157,499.5964648505571,474.3466061706673,503.45077723692805,486.69543879801336,472.8487292822428,522.7576987415093,483.18835406272126,475.3119395403425,495.4446049565746,521.5151557795368,461.4261108173399
5,250,505.92086889354084,470.3289015822505,533.9111501354386,519.4737868183889,505.45388141770724,485.7145156027355,545.7009669153678,493.2079895445583,512.6633489484107,528.8614962724306,542.265887588106,494.6754146268466,521.7198064158798,521.9192143048605,535.6569765672824,520.1439841748429,492.32204222443085,502.5209406383144,510.2423349005029,526.3022413010292,494.1567679762317,522.2843822812957,521.7005321630535,489.0026312346927,541.1217663700079,504.56841926770767,493.53988065038845,508.47083948280493,539.9896744369947,481.62800978132174
6,300,522.7288458788336,488.9874458408873,549.6874631943322,543.7675423508897,525.1735001642081,506.19783329713476,557.0553693884536,518.2384193928184,524.1244027632168,541.1605522935652,552.6781776221195,519.2457635024887,550.0618877797954,532.7806093632,549.064207715955,529.5630226336692,507.10746831704256,514.7278139593175,526.855788364983,540.0956824676233,503.17007584817713,536.756755900527,544.6895256635501,506.9832050692366,548.9461469421625,528.0493329522897,502.13325404818585,516.2633880751474,551.3756366845059,492.79159574750577
7,350,536.3392810264095,491.2229976231305,563.4717243148655,557.3247761316358,537.9303695173943,515.9441184262445,571.8868699454962,531.329956327195,536.7651475855724,559.6727981127228,560.0931992325218,534.1065534080939,557.6010280030907,544.1617922847881,566.8125579566846,534.3473183175088,511.9536629849147,530.5795273478226,541.7752313448932,554.8313728746838,518.1901951697349,546.5879477232426,555.2919543807674,522.3930624339023,564.3011247201242,554.2560111038566,521.2175351221903,525.6040633606929,571.5390667248156,507.04350622274933
8,400,537.1414691423765,500.4906490033193,567.2364959762111,567.2855677453924,546.3712719063565,526.2292968765667,574.0975320741558,544.2017198792792,544.9958767804624,566.8518388744568,570.1337172878946,547.7839647146585,573.1888766788608,552.2155652019048,580.4033753899976,541.7138393734284,533.0196333202671,539.9687046520098,550.0482817862899,566.3416623031568,524.567471003356,555.1685774525241,561.1579744653232,533.0480363680894,570.4610513823903,569.4492133394092,526.0401690013674,526.4344734587345,579.1163014678168,521.983671710208
9,450,549.0700929459275,507.0011180286139,578.0833825517475,575.8275488152847,553.6461507545221,543.223906147351,580.5404134043172,552.3877942344755,548.6903809992386,573.9619144688559,573.9957543650928,558.5544109948444,590.0486297279259,558.8459220495241,586.4281896706306,550.9548061470306,551.033551398544,551.8992245951066,560.0295938649239,573.8846451871741,528.5498436461602,563.1040699906812,570.95607753824,545.5976311609736,574.6605414053415,580.9763751203777,542.7697318135223,540.5711610073977,584.8450751390457,537.9848290831832
