,best individuals,best Fitnesses
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 41, 24, 104, 61, 87, 199, 32, 22, 359, 67, 82, 337, 39, 11, 290, 54, -31, 256, 39, -44, 294, 68, 40, 347, 40, -20, 260, 33, -44, 280, 34, -41, 27, 65, 35, 341, 58, 41, 15, 62, 3, 194, 59, 44, 327, 66, -37, 157]",622.1129939999863
1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 24, 108, 35, -21, 268, 57, 6, 24, 45, -32, 329, 62, 75, 283, 45, -53, 91, 40, -16, 95, 48, -32, 229, 64, -65, 108, 71, 77, 27, 37, -14, 51, 58, -49, 167, 57, -3, 119, 56, 62, 10, 65, 83, 209, 59, 76, 202]",621.3272523969007
2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, -19, 288, 52, -22, 283, 47, -21, 5, 58, 58, 165, 58, 36, 113, 36, -40, 76, 34, -31, 139, 69, 2, 142, 49, 70, 126, 68, 21, 285, 48, -87, 5, 63, -45, 333, 58, 60, 54, 53, 38, 151, 57, -48, 70, 33, -64, 165]",620.3667580015459
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 34, 16, 85, 46, 25, 104, 68, -9, 338, 72, 86, 3, 51, -29, 273, 48, -33, 103, 60, -55, 290, 38, -17, 42, 34, 34, 8, 71, -71, 283, 55, -6, 89, 62, 40, 59, 59, -20, 11, 45, 16, 140, 66, 71, 264, 71, 22, 80]",619.9684460947975
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 36, 22, 92, 68, -8, 287, 65, -46, 168, 60, 26, 44, 70, 41, 30, 59, 21, 63, 58, -12, 333, 48, 3, 155, 67, -25, 36, 62, -1, 351, 50, -25, 4, 68, -26, 41, 58, 30, 26, 57, -69, 123, 32, -31, 5, 65, 90, 21]",622.3064784897787
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, -29, 281, 56, -27, 355, 67, 5, 173, 52, 75, 357, 57, -4, 166, 45, -67, 89, 66, 77, 270, 32, -28, 132, 32, -48, 119, 58, -2, 133, 50, -77, 47, 68, 90, 79, 44, 26, 134, 64, -35, 352, 60, 78, 210, 51, -9, 52]",621.8199074957674
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 65, -25, 265, 34, -77, 341, 47, 26, 42, 44, 8, 93, 47, -9, 195, 40, 76, 212, 64, 78, 44, 56, -69, 36, 44, -26, 144, 58, 10, 125, 56, -16, 311, 51, 10, 104, 72, -58, 333, 57, -72, 195, 32, 52, 295, 32, 81, 243]",622.1321174965839
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 53, 22, 95, 38, -16, 284, 50, 31, 343, 48, 14, 264, 50, -51, 339, 70, 58, 356, 35, -12, 306, 46, 15, 193, 49, 33, 90, 35, 88, 322, 66, 38, 290, 38, -50, 237, 53, 15, 103, 68, -65, 283, 38, -74, 325, 55, -79, 41]",622.3437272327168
8,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 33, 11, 79, 45, -18, 295, 52, -21, 263, 68, -63, 136, 69, 25, 299, 65, 70, 305, 56, 32, 33, 71, -10, 172, 53, -45, 163, 54, -82, 276, 64, 2, 136, 48, -37, 148, 60, -62, 208, 37, -50, 11, 68, -77, 159, 68, -4, 348]",618.2633870369904
9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 34, 76, 68, -23, 263, 38, 40, 241, 53, -34, 240, 39, 90, 300, 44, 25, 297, 39, -21, 258, 36, 4, 222, 70, 34, 22, 32, -85, 39, 63, -5, 0, 60, 83, 41, 46, -15, 147, 37, 63, 254, 66, -61, 161, 60, 85, 311]",620.356598586023
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 27, 109, 59, -10, 250, 49, 24, 229, 52, 79, 271, 39, 34, 265, 59, -77, 180, 72, 57, 200, 56, 63, 167, 64, -55, 302, 54, -31, 325, 59, -27, 329, 55, 71, 130, 52, 28, 265, 42, -7, 232, 63, 81, 276, 48, 18, 199]",620.724939816637
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, -27, 276, 48, 83, 66, 71, 35, 104, 43, 43, 101, 39, -21, 58, 56, -43, 317, 66, 70, 14, 46, 49, 184, 67, 30, 12, 45, -27, 126, 33, -27, 13, 60, 22, 29, 58, 14, 263, 66, -87, 319, 68, 27, 216, 61, -12, 20]",623.0112337481901
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, -26, 279, 72, -42, 293, 67, -72, 270, 69, -86, 318, 46, -14, 2, 70, -18, 71, 35, -63, 334, 49, 16, 111, 35, 52, 326, 72, 63, 18, 65, -19, 59, 60, 22, 153, 69, 34, 105, 60, 30, 129, 33, 41, 64, 40, -77, 185]",623.0417650601453
13,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, -22, 292, 40, -27, 264, 70, 20, 69, 51, 45, 334, 40, 40, 281, 40, -15, 291, 65, 60, 125, 72, 13, 263, 42, -31, 73, 67, -21, 124, 45, 83, 66, 46, -16, 221, 69, 38, 240, 38, 7, 300, 44, 63, 360, 52, -62, 86]",619.6062974146266
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 25, 95, 49, -22, 201, 39, 5, 153, 38, 8, 301, 46, -88, 303, 58, -25, 81, 39, -36, 7, 40, -73, 149, 56, -40, 227, 46, 64, 151, 64, -81, 260, 65, 60, 189, 60, 18, 208, 63, 72, 142, 63, -60, 226, 58, -33, 243]",623.2521785305745
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 72, 28, 93, 60, -35, 316, 50, -77, 262, 71, -84, 242, 36, -80, 179, 42, -43, 52, 54, -48, 296, 67, 22, 188, 53, -48, 243, 47, -75, 311, 43, -84, 20, 39, -41, 81, 68, -25, 167, 42, -49, 191, 60, -64, 239, 40, 53, 200]",622.5545241901392
16,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 33, 26, 95, 53, -28, 275, 58, -46, 59, 43, 5, 204, 57, 18, 305, 67, -22, 89, 57, 28, 199, 33, 77, 341, 54, 1, 190, 46, -17, 223, 59, 6, 82, 37, -71, 269, 44, -79, 258, 71, -38, 121, 54, 11, 223, 44, 18, 297]",623.1578152087585
17,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 35, 9, 162, 61, 29, 86, 63, 24, 105, 66, -25, 336, 60, -90, 152, 72, -46, 299, 63, 15, 88, 44, 20, 115, 54, -24, 283, 67, -5, 344, 55, -74, 330, 48, 79, 104, 64, -68, 52, 71, 53, 175, 63, 86, 278, 46, -37, 54]",617.0938302844154
18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 34, 28, 94, 53, 5, 20, 35, -61, 359, 41, 27, 22, 68, 24, 16, 65, -37, 262, 46, 46, 0, 42, -41, 185, 60, 75, 9, 72, -15, 122, 52, 80, 264, 38, -12, 231, 36, -74, 286, 48, 49, 211, 39, -33, 233, 38, 31, 154]",622.6119410679336
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, -23, 276, 72, 21, 71, 40, 23, 98, 39, -76, 27, 57, -84, 68, 52, 57, 77, 32, 35, 149, 42, 68, 72, 69, 33, 336, 37, 60, 125, 37, 23, 140, 64, 15, 89, 47, 51, 201, 38, -79, 109, 71, 37, 299, 60, -63, 153]",622.7932905095352
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 71, -27, 263, 36, -16, 231, 60, 24, 59, 61, -31, 349, 44, 31, 108, 52, 22, 89, 64, -78, 237, 39, 85, 229, 48, -18, 69, 65, 10, 274, 43, 34, 110, 35, -23, 14, 53, 68, 4, 57, -34, 360, 63, -80, 75, 55, 26, 52]",621.1598204174576
21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 28, 95, 66, 28, 180, 37, -12, 33, 34, -6, 262, 64, -65, 313, 38, -78, 21, 39, 25, 135, 72, 90, 260, 67, 9, 13, 36, 34, 293, 35, 52, 188, 72, 60, 24, 53, -84, 321, 54, 88, 343, 36, -34, 62, 72, 15, 184]",622.6445929833807
22,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 36, -20, 289, 62, -27, 272, 34, 35, 111, 71, 3, 36, 37, 25, 224, 59, 51, 227, 61, -28, 127, 72, 64, 23, 38, 26, 174, 38, 43, 353, 53, 33, 86, 32, 24, 18, 40, -48, 141, 64, -47, 199, 55, -18, 47, 51, 25, 110]",622.4234995845922
23,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, -26, 296, 69, 22, 81, 41, 22, 23, 62, 34, 117, 62, -49, 240, 36, 57, 127, 70, -20, 294, 46, 17, 207, 33, 18, 214, 69, -68, 206, 70, 23, 252, 54, -73, 29, 58, -89, 14, 37, 20, 37, 72, 32, 248, 41, -89, 229]",620.0000443702863
24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, -20, 272, 58, 25, 93, 47, 32, 311, 41, -85, 113, 37, 82, 358, 48, 54, 189, 63, 51, 36, 48, -45, 87, 62, -9, 151, 69, -34, 206, 52, 19, 43, 67, 24, 54, 57, -83, 46, 65, -57, 350, 51, -34, 212, 67, 37, 59]",622.9759117673303
25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 25, 96, 70, 85, 298, 50, 78, 287, 50, 5, 6, 44, -84, 312, 54, 76, 33, 72, -8, 55, 35, 15, 208, 36, -56, 250, 58, 12, 358, 42, 29, 63, 59, -81, 9, 69, 19, 159, 33, 5, 171, 54, -86, 119, 67, 22, 133]",623.2383173142853
